nom répertoire photo|adresse site|Nom 1|Nom3|Nom 2|Nom latin|Nom latin2|Nom anglais|Ordre:famille|Fleur en groupe/Fleur isolée|Inflorescence|Fleur/sans fleur|Couleur de la fleur|Couleur 2|Aspect de la fleur|Particularité|Aspect réformé|Nombre de pétales, tépales ou lobes|Forme de la fleur Régulière/Irrégulière|Type de feuille|disposition des feuilles|Tige pubescente/glabre/épine|Feuille pubescente 1/ Feuille pubescente 2/Feuille glabre|FIN
||xxx|||xxx||xxx||*isolée
*épi
*grappe, panicule
*ombelle
*corymbe
*couronne
*tête
*spadice
*autre
* verticille, couronne|||rose/mauve/rouge
bleu/violet
autre||* tube
* cloche, grelot
* composée
* sous forme d'écailles
* papillon
* présence d'éperon
* sans corolle
* entonnoir
* autre
* orchidée
* PSER : pétales séparés égaux rayonnants|* éperon
* cloche, grelot
* orchidée
* papillon
* tachetée ou bicolore
* spathe
* échancré|* PSER : pétales séparés égaux rayonnants (également réparties)
* PSI : pétales séparés inégaux
* PSLE : pétales soudés lobes égaux (campanule)
* PSLI : pétales soudés lobes inégaux (type tube à 2 lèvres)
* CTL : composée avec des fleurs tubulées et ligulées
* CLOT : composées uniquement de fleurs ligulées ou tubulées
* autre|* 1-3
* 4
* 5
* 6
* 7-10
>10
* 0| * régulière
 * irrégulière

| * composée
 * divisée
 * simple entière
 * simple dentée
* autre (filet, écaille)|* opposées
 * alternes
 * verticillées
 * à la base
 * autre|||FIN
Ache_faux_cresson|http://abiris.snv.jussieu.fr/flore/descriptions/Ache_faux_cresson.html|Ache faux cresson||Ache nodiflore|Helosciadium nodiflorum||Fool's-water-cress|Apiaceae|ombelle|groupe|avec|blanc||5 pétales||PSER|5|régulière|composée|alternes|glabre|glabre|
Achillee_millefeuille|http://abiris.snv.jussieu.fr/flore/descriptions/Achillee_millefeuille.html|Achillée millefeuille|||Achillea millefolium||common yarrow|Asteraceae|ombelle|groupe|avec|blanc|rose|composée||CTL|>10|irrégulière|divisée|alternes|pubescente|pubescente2|
Achillee_sternutatoire|http://abiris.snv.jussieu.fr/flore/descriptions/Achillee_sternutatoire.html|Achillée sternutatoire||Herbe à éternuer|Achillea ptarmica||sneezewort|Asteraceae|ombelle|groupe|avec|blanc||composée||CTL|>10|régulière|simple dentée|alternes|glabre, pubescente|glabre|
Aconit_napel|http://abiris.snv.jussieu.fr/flore/descriptions/Aconit_napel.html|Aconit napel|Casque de Jupiter|Napel|Aconitum napellus||monkshood|Ranunculaceae|grappe|groupe|avec|bleu||5 pétales||PSI|5|irrégulière|divisée|alternes|glabre, pubescente|glabre|
Agripaume_faux_marrube|http://abiris.snv.jussieu.fr/flore/descriptions/Agripaume_faux_Marrube.html|Agripaume faux Marrube|||Leonorus marrubiastrum||False Motherwort|Lamiaceae|couronne|groupe|avec|rose||tube||PSLI|4|irrégulière|simple dentée|opposées|pubescente|pubescente2|
Aigremoine_eupatoire|http://abiris.snv.jussieu.fr/flore/descriptions/Aigremoine_eupatoire.html|Aigremoine eupatoire|||Agrimonia eupatoria||common agrimony|Rosaceae|épi|groupe|avec|jaune||5 pétales||PSER|5|régulière|composée|alternes|pubescente|pubescente1|
Ail_tete_ronde|http://abiris.snv.jussieu.fr/flore/descriptions/Ail_a_tete_ronde.html|Ail à tête ronde|||Allium sphaerocephalon||round-headed garlic|Liliaceae, Amaryllidaceae||groupe||rose||||PSER|6||simple entière, autre|alternes|glabre|glabre|
Ail_des_champs|http://abiris.snv.jussieu.fr/flore/descriptions/Ail_des_champs.html|Ail des champs|Ail potager|Ail des jardins|Allium oleraceum||field garlic|Liliaceae, Amaryllidaceae|ombelle|groupe|avec|rose|marron|6 pétales||PSER|6|régulière|simple entière, autre|alternes|glabre|glabre|
Ail_des_ours|http://abiris.snv.jussieu.fr/flore/descriptions/Ail_des_ours.html|Ail des ours||Ail des bois|Allium ursinum||wild garlic|Liliaceae, Amaryllidaceae|ombelle|groupe|avec|blanc||6 pétales||PSER|6|régulière|simple entière, autre|alternes|glabre|glabre|
Ail_des_vignes|http://abiris.snv.jussieu.fr/flore/descriptions/Ail_des_vignes.html|Ail des vignes|||Allium vineale||crow Garlic|Liliaceae, Amaryllidaceae|tête|groupe|avec|rose|blanc|6 pétales|cloche|PSER|6|régulière|simple entière, autre|alternes|glabre|glabre|
Alliaire|http://abiris.snv.jussieu.fr/flore/descriptions/Alliaire.html|Alliaire|Herbe à ail|Alliaire officinale|Alliaria petiolata||Garlic mustard|Brassicaceae|grappe|groupe|avec|blanc||PSER||PSER|4|régulière|simple dentée|alternes|glabre, pubescente|glabre|
Alysson_calycinal|http://abiris.snv.jussieu.fr/flore/descriptions/Alysson_a_calice_persistant.html|Alysson à calice persistant|Passerage à calices persistants|Passerage faux alysson|Alyssum alyssoides||pale madwort|Brassicaceae|grappe|groupe|avec|jaune||PSER||PSER|4|régulière|simple entière|alternes|pubescente|pubescente2|
Berteroa_blanchatre|http://abiris.snv.jussieu.fr/flore/descriptions/Berteroa_blanchatre.html|Alysson blanc||Bertéroa blanchâtre|Berteroa incana||hoary alyssum|Brassicaceae|grappe|groupe|avec|blanc||PSER|échancré|PSER|4|régulière|simple entière|alternes|pubescente|pubescente2|
Ambroisie_feuilles_armoise|http://abiris.snv.jussieu.fr/flore/descriptions/Ambroisie_a_feuilles_d_Armoise.html|Ambroisie à feuilles d'Armoise||Ambroisie élevée|Ambrosia artemisiifolia||Common Ragweed|Asteraceae|épi|groupe|avec|vert|jaune|composée||CLOT, autre|>10||divisée|alternes|pubescente|pubescente2|
Ancolie_commune|http://abiris.snv.jussieu.fr/flore/descriptions/Ancolie_commune.html|Ancolie commune|||Aquilegia vulgaris||Common columbine|Ranunculaceae|isolée|solitaire|avec|bleu|rose||éperon|PSER|5|régulière|composée|alternes|pubescente|pubescente1|
Andryale_feuilles_entieres|http://abiris.snv.jussieu.fr/flore/descriptions/Andryale_a_feuilles_entieres.html|Andryale à feuilles entières||Andryale sinueuse|Andryala integrifolia||Common Andryala|Asteraceae|grappe, corymbe, épi|groupe|avec|jaune||composée||CLOT|>10|régulière|simple dentée|alternes|pubescente|pubescente2|
Anemone_sylvie|http://abiris.snv.jussieu.fr/flore/descriptions/Anemone_des_bois.html|Anémone des bois||Anémone sylvie|Anemone nemorosa||Wood anemone| Ranunculaceae|isolée|solitaire|avec|blanc||5 pétales, 6 pétales, 7 pétales, 8 pétales||PSER|5, 6, 7-10|régulière|composée|verticillées|pubescente|pubescente2|
Angelique_sylvestre|http://abiris.snv.jussieu.fr/flore/descriptions/Angelique_des_bois.html|Angélique des bois||Angélique sauvage|Angelica sylvestris||wild angelica|Apiaceae|ombelle|groupe|avec|blanc||5 pétales||PSER|5|irrégulière|composée|alternes|glabre|pubescente1|
Anthemis_bicolore|http://abiris.snv.jussieu.fr/flore/descriptions/Anthemis_bicolore.html|Anthémis bicolore|Camomille mixte|Anthémis panaché|Anthemis mixta|| simple-leaved chamomile|Asteraceae|isolée|solitaire|avec|blanc|jaune|composée||CTL|>10|régulière|divisée|alternes|pubescente|pubescente2|
Anthemis_des_champs|http://abiris.snv.jussieu.fr/flore/descriptions/Anthemis_des_champs.html|Anthémis des champs|Fausse Camomille|Camomille sauvage|Anthemis arvensis||corn chamomile|Asteraceae|isolée|solitaire|avec|blanc|jaune|composée||CTL|>10|régulière|divisée|alternes|pubescente|pubescente2|
Arabette_Thalius|http://abiris.snv.jussieu.fr/flore/descriptions/Arabette_de_Thalius.html|Arabette de Thalius||Arabette des dames|Arabidopsis thaliana||thale cress|Brassicaceae|grappe|groupe|avec|blanc||PSER||PSER|4|régulière|simple dentée|alternes|glabre, pubescente|pubescente2|
Arabette_glabre|http://abiris.snv.jussieu.fr/flore/descriptions/Arabette_glabre.html|Arabette glabre|Tourette glabre|Tourelle|Arabis glabra||tower mustard|Brassicaceae|grappe|groupe|avec|blanc||PSER||PSER|4|régulière|simple entière|alternes|glabre|glabre, pubescente2|
